entry_uuid,categories,entry_date,entry_date_dt,entry_text_split,scrape_timestamp
5c38829a-bd4a-495a-92b8-1235140a11d8,['Policy'],"August 26, 2020",2020-08-26 00:00:00,"Without making an announcement, the White House’s coronavirus task force changed the advice on the Centers for Disease Control and Prevention website. Whereas the wording had said anyone in contact with an infected person should be tested, it now said people without coronavirus symptoms “do not necessarily need a test.” The new guidelines followed months of Trump saying that he was opposed to more testing because it revealed more cases.",2020-11-05 02:35:36.642482
3f2d6b26-b013-4ae5-b7ac-3003e3395327,['Public Statements / Tweets'],"August 8, 2017",2017-08-08 00:00:00,"Donald Trump promised to unleash “fire and fury like the world has never seen” if North Korea threatened the United States with nuclear action. Trump delivered his warning of catastrophic nuclear action after Kim Jong-un’s regime successfully tested an intercontinental ballistic missile with a range capable of reaching the continental United States. Secretary of State Rex Tillerson attempted to downplay Trump’s bellicosity, saying, “I think Americans should sleep well at night, and have no concerns about this particular rhetoric of the last few days.”",2020-11-05 02:35:36.642737
92e66e21-e244-4167-a87f-ebfbdbd33766,['Trump Family Business Dealings'],"October 12, 2020",2020-10-12 00:00:00,"Every time Trump’s children visited his properties, the U.S. government had to pay his company for the Secret Service agents who stayed with them. According to the Washington Post, the Trump Organization earned at least $238,000 in taxpayer money by charging the government. The children’s visits to Trump’s resorts and hotels included overseas golf trips. Ivanka Trump repeatedly brought her Secret Service agents to the Trump golf club in Bedminster, N.J. — at a time when she appealed to Americans to “please, please” stay home during the pandemic.",2020-11-05 02:35:36.643031
12960024-bc44-456a-bceb-cc4fc08b005d,['Public Statements / Tweets'],"October 29, 2020",2020-10-29 00:00:00,"In an interview on Fox News, Donald Trump Jr. asserted that the number of Americans dying from COVID-19 is “almost nothing.” One thousand and four Americans died from the virus the day of his statement, bringing the total dead to almost 230,000.",2020-11-05 02:35:36.643322
72faf788-323a-4517-a99d-e04337531e3d,['Policy'],"March 25, 2018",2018-03-25 00:00:00,"Ever since Trump was $1.6 billion in funding for his proposed border wall, the president has privately argued for the construction funding to come from military budget. He then tweeted, ""Because the $700 & $716 Billion gotten to rebuild our military, many jobs are created and our military is again rich. Building a great border wall, with drugs (poison) and enemy combatants pouring into our Country, is all about national defense. Build WALL through M!”",2020-11-05 02:35:36.643679
78382b71-c9f0-488f-bf1a-96e762109b90,['Policy'],"January 30, 2017",2017-01-30 00:00:00,Trump signed an executive order which instructed federal agencies to remove two regulations on private businesses for each new one added. The order also stipulated new rules should offset additional cost to businesses by eliminating regulations of equal or greater value to business bottom line.,2020-11-05 02:35:36.643933
d1abe566-8387-42ab-b46e-c1d6fd036705,"['Trump Staff & Administration', 'White Supremacy, Racism, Homophobia, Transphobia, & Xenophobia']","December 14, 2017",2017-12-14 00:00:00,"For all official documents, staff at the Centers for Disease Control and Prevention were instructed not to use the terms “transgender,” “vulnerable,” “entitlement,” “diversity,” “fetus,” “evidence-based,” or “science-based.”",2020-11-05 02:35:36.644267
27eab8b2-a5b3-46f3-905f-a3940c21bb4a,['Public Statements / Tweets'],June 2017,2017-06-30 00:00:00,"Two anonymous White House officials told the New York Times that Donald Trump said Haitians “all have AIDS” and Nigerian immigrants wouldn’t ever “go back to their huts.” Newly released immigration statistics, which reported 15,000 Haitian immigrants had entered the U.S. since he took office, reportedly ignited President Trump’s tirade. While the White House subsequently denied Trump had used the words “AIDS” and “huts,” it did not deny the “overall description of the meeting.”",2020-11-05 02:35:36.644683
aeb00357-484d-45e9-8f96-dba8664e49ca,['Policy'],"September 12, 2017",2017-09-12 00:00:00,"Donald Trump hosted Najib Razak, Malaysia’s Prime Minister, at the White House, despite the Justice Department’s ongoing investigation of a corruption scandal in Razak’s administration. Razak stood accused of funneling $3.5 billion dollars in public money from the Malaysian government to finance the purchase of jewelry, real estate, and Hollywood film rights. Razak has responded to accusations of corruption in his own country by firing investigators and referring to journalistic exposés on his spending as “Fake News.” Razak and his entourage stayed in the Trump International Hotel during his trip to D.C.",2020-11-05 02:35:36.644983
e6099c31-2ded-4aa8-9192-4bc1b4827576,"['Public Statements / Tweets', 'Trump Family Business Dealings']","July 28, 2020",2020-07-28 00:00:00,"Trump and his son Donald Trump Jr. shared a video of a group of people in white medical coats dismissing the importance of masks and touting the benefits of hydroxychloroquine, the drug that the president had touted as a coronavirus treatment but that medical experts discredited. The video of the self-proclaimed “America’s Frontline Doctors” was viewed tens of millions of times on Facebook, YouTube and Twitter before the websites were able to remove it. “For some reason the internet wanted to take them down and took them off,” Trump said. “I think they are very respected doctors.”",2020-11-05 02:35:36.645295
